MASKED_STUDENT_ID,workday,weekend,morning,afternoon,evening,overnight,workday_ExamMonth,weekend_ExamMonth,morning_ExamMonth,afternoon_ExamMonth,evening_ExamMonth,overnight_ExamMonth,workday_notExamMonth,weekend_notExamMonth,morning_notExamMonth,afternoon_notExamMonth,evening_notExamMonth,overnight_notExamMonth,workday_firstMonth,weekend_firstMonth,morning_firstMonth,afternoon_firstMonth,evening_firstMonth,overnight_firstMonth,examMonth,notExamMonth,firstMonth,total_checkin,label_atRist
8TMIKVZ5,19,0,3,16,0,0,7,0,1,6,0,0,12,0,2,10,0,0,3,0,1,2,0,0,7,12,3,19,0
EIC4AO9Q,7,3,1,5,4,0,3,0,0,2,1,0,4,3,1,3,3,0,1,2,0,2,1,0,3,7,3,10,0
VBE8CVBD,15,1,0,16,0,0,7,1,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,0,8,8,0,16,0
X9UV97UE,3,0,0,3,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,0
QIUKOLWK,8,1,4,5,0,1,4,1,1,4,0,0,4,0,3,1,0,1,0,0,0,0,0,0,5,4,0,9,0
DIESDMFF,23,1,1,13,9,1,14,1,0,10,5,0,9,0,1,3,4,1,0,0,0,0,0,0,15,9,0,24,0
X1MOOKHV,85,9,11,72,11,0,19,2,4,17,0,0,66,7,7,55,11,0,12,0,2,9,1,0,21,73,12,94,0
SYK9ZKJW,62,9,7,61,3,0,31,4,1,32,2,0,31,5,6,29,1,0,5,1,1,5,0,0,35,36,6,71,0
9ER7KD7O,17,0,5,11,1,0,5,0,3,2,0,0,12,0,2,9,1,0,2,0,0,1,1,0,5,12,2,17,0
DSGQ8GF4,48,1,17,32,0,0,22,1,8,15,0,0,26,0,9,17,0,0,7,0,4,3,0,0,23,26,7,49,0
OEKP8KAP,64,10,22,51,1,0,39,7,18,28,0,0,25,3,4,23,1,0,0,0,0,0,0,0,46,28,0,74,0
C6YGVXCS,51,6,3,52,2,0,11,3,1,13,0,0,40,3,2,39,2,0,3,0,0,3,0,0,14,43,3,57,0
YKD1WBY5,8,2,4,6,0,0,5,1,1,5,0,0,3,1,3,1,0,0,1,0,0,1,0,0,6,4,1,10,0
WE8FJSIE,175,52,46,143,34,9,78,30,23,68,13,8,97,22,23,75,21,1,20,0,8,11,1,0,108,119,20,227,0
UEFRHS3A,4,2,0,5,1,0,3,2,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,6,0
PMZILCRM,74,14,35,53,0,0,34,12,20,26,0,0,40,2,15,27,0,0,0,0,0,0,0,0,46,42,0,88,0
S7CKCEYV,44,3,23,22,2,0,16,3,5,13,1,0,28,0,18,9,1,0,3,0,2,1,0,0,19,28,3,47,0
UXW3BQXX,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ZKWQGI2T,136,33,31,105,31,2,63,21,7,54,22,1,73,12,24,51,9,1,7,0,0,7,0,0,84,85,7,169,0
SRCXALHG,5,2,2,2,3,0,1,0,0,0,1,0,4,2,2,2,2,0,0,0,0,0,0,0,1,6,0,7,0
JPYZKMDC,15,16,3,16,12,0,4,9,1,8,4,0,11,7,2,8,8,0,0,6,1,4,1,0,13,18,6,31,0
QBKWVL8Z,2,4,2,4,0,0,2,0,1,1,0,0,0,4,1,3,0,0,0,0,0,0,0,0,2,4,0,6,0
PROGVHR6,6,4,0,6,4,0,2,1,0,2,1,0,4,3,0,4,3,0,0,0,0,0,0,0,3,7,0,10,0
ELKU1WZY,31,4,4,30,1,0,15,1,2,14,0,0,16,3,2,16,1,0,2,0,0,2,0,0,16,19,2,35,0
9EJMHJY6,48,11,17,13,29,1,35,11,17,7,22,1,13,0,0,6,7,0,2,0,0,2,0,0,46,13,2,59,0
FEZSA7CB,18,5,1,5,16,1,18,5,1,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0
MM9JFOVV,25,10,10,23,2,0,21,6,9,17,1,0,4,4,1,6,1,0,1,0,0,1,0,0,27,8,1,35,0
ZVRHBDBC,9,5,2,4,8,0,5,5,2,2,6,0,4,0,0,2,2,0,1,0,0,1,0,0,10,4,1,14,0
YT9UH73G,55,0,2,33,16,4,29,0,0,15,10,4,26,0,2,18,6,0,0,0,0,0,0,0,29,26,0,55,0
XHURVSGJ,36,10,12,32,2,1,10,6,3,12,1,1,26,4,9,20,1,0,4,0,1,3,0,0,16,30,4,46,1
