MASKED_STUDENT_ID,CUM_GPA
P5D4NOGJ,1.4
IBHEHSIE,1.75
KSHXX7FK,1.75
RQ9ERG37,1.91
XOWI6BMY,2.0
4MSKS4JF,0.9
ANLVVXK1,1.8
LKEO5NJG,0.5
KOXY125T,1.0
M7ZDJ2BR,1.2
JHZNP1XL,1.75
TT2FT6ZT,1.93
DGLCYORC,1.7
F1SKAOU9,2.0
PH2MLGUR,1.7
K89IPBOE,1.38
VVH6FWHG,1.96
NFCZ7USM,1.95
7CKDTG3H,1.5
GQYV7ABX,1.77
M7UYWPGV,1.89
HXRY4VHC,1.99
DCVZQDGP,2.0
ZSTCQAZ4,2.0
ZCLNQX9L,1.7
R2QQMP1V,2.0
IUKP853W,1.5
NUTBZPYF,1.5
NLBZUV8L,1.88
TRBKFLNP,1.1
7GFNEXKN,1.83
HYK1MK5R,1.67
E35VYO2C,1.86
DPQCKSRS,1.79
OXNMPEBT,2.0
XHURVSGJ,1.74
NVLTTIR1,1.38
V3OEHKWF,0.88
IKKIQTFK,0.0
VP4MG23H,0.8
AXSUXKDE,1.2
ZBJKSA1F,1.9
2LBHH5HT,1.8
JDFGLSCN,0.4
RRBIQC1A,1.74
NCTQW1DM,1.94
NKIJCEGB,1.69
ZKPKJ18A,1.87
J4QXOSPX,1.87
KZFWJMFY,1.88
8P34VFP3,1.61
LGQ1B5GX,1.47
PUYYGAJ5,0.67
Y3EGLB2U,1.2
PUL9FSM7,1.88
FAP4NNJG,1.42
IZWFKWZ3,1.83
BKEGAJAS,1.6
4F65372B,2.0
673T7CSI,1.1
HYKALKJE,1.25
ZMVJR29S,1.5
RNYRL8OJ,1.92
UW9AL2D9,1.93
J1VZ24AY,1.85
HMQWBG5U,1.97
CHKDHKD9,1.9
OLVTSSNQ,1.9
IHFRSINC,1.89
SMCOHPAF,1.98
XPKPUBWU,1.8
2B1OZ9VP,1.4
GAHYCCOT,1.5
CYGAXSCG,1.98
SNZIW7FD,2.0
NUUU4DJ6,1.7
IDEO5OBN,1.86
XSQXZQRJ,0.88
E9P2I8PQ,1.64
H3EVX2GE,1.0
8CPJARUX,2.0
HZBVCEME,1.88
DPSYHLOW,1.5
DXV7RALB,2.0
Q9YBN1Y6,1.5
QIQQDPEM,1.58
Y1W7D6A5,2.0
4ZBMBQKM,2.0
ASHLJPIR,1.0
BOZKAF6P,0.0
UIKAHFGM,1.75
64HI282G,1.5
XI3NFOGL,1.83
EFIOF8IE,2.0
FZFBUT36,1.8
M9JSOCPH,0.9
LIPIDP2D,2.0
BXKGHACZ,1.9
7468TWSX,1.88
WZ56RFEC,1.7
AUXXPQCZ,1.5
4IAYHTCH,1.13
YCY4U5JX,1.63
YUKSNDAU,1.25
RKFQVEUI,1.75
HHEOA1LF,2.0
IKPCIHTE,1.5
OBNFIEVK,1.88
CDE16GJM,1.6
2VCQSHLV,1.25
ADWNVG3J,2.0
GGKJDTBE,2.0
SZVP7JIO,2.0
