MASKED_STUDENT_ID,CUM_GPA
7TETYLYB,3.5
RBYKSEWC,3.98
J9LAPVL5,3.72
GGU3VXVE,2.3
ROUZXDJO,3.49
U8RSZESL,3.92
84OEXLGS,3.74
RKMCYE4Y,2.89
JAIFUGH8,2.71
F1CO1IBQ,3.39
FYKJ9IQ6,2.13
IH2LXW5E,3.11
XRE7K1ZM,2.26
H8YQCRXL,2.8
NBNWM5IY,2.36
WN2VGCKG,2.53
KNTH8B2X,2.65
FRATDSBE,2.1
QS1LGN11,2.32
VTL7L5WI,2.26
VUKLUXKU,2.41
MDVJCQKY,2.69
LCHIK2US,3.81
1LHRZ89V,2.99
PXVZT7IQ,2.79
JTAUQCUJ,3.01
F7UUSVKE,3.13
M6CJWGRJ,2.54
VDEBUG5Z,2.49
PLLSPPBN,3.89
2HGPVRVG,3.06
YS15BDBD,3.56
YDGB3EZH,2.62
EGHR243P,2.75
7XFRUZDR,3.71
KRI9LUHV,3.47
FQFFI5DA,3.1
HVIEQLV1,3.27
5PJVFFWV,3.79
C154L7BI,3.63
HM86EQFO,3.47
KHTDMCDB,3.7
FARA91SE,3.81
7BLZRU3F,2.8
82U3OZYP,3.39
IWZCG6WU,2.43
5CMNELKJ,2.1
CJDBZEAF,3.03
OQXPFRSN,2.72
XWIU4YXG,3.17
UKEKBCMC,2.35
P17PVMOZ,4.0
HUBAFIKG,3.93
H7IB1CHI,2.81
TR1T1EXN,4.0
O4B1RVQH,2.52
KC6UZZQA,2.73
5J22ICAF,2.37
PEIDT5DS,2.92
VKXCN4AA,2.55
1YKECC6F,2.84
X9IRMV9G,3.03
MTJEEGT2,4.0
CPZFXUFL,2.4
NOFXD4NF,3.76
NAPGUUJO,2.62
B9MSHIFK,3.07
EEAMTDW2,3.15
LLHEOSAW,2.7
IA9DGJH6,2.32
RV4PPPKB,2.68
CQK4ZMHC,2.61
TPDJJS7A,2.83
GDJS7QSE,2.53
DSDPNLSC,3.12
EZQIAFJK,3.2
OIT8JVTZ,2.78
YTBZBGQX,2.55
47ZJZSDM,2.78
ERUTFUDB,3.05
GAKLMAY4,3.19
JJFRLGTM,2.86
EBSIREQC,3.48
WMW4OMZN,2.79
HCWT1RJD,3.02
PUCM21KU,2.26
RK5ELEIG,3.16
LH3FQWVD,3.06
SI6EYRRJ,3.05
OUWLUBXU,2.24
DCZPYZYC,2.53
R7SC2LYF,3.1
KBTF1QBH,2.72
IAZCWJ6A,2.91
J1FPGJU4,2.43
PGZ2BLGG,2.82
IUXAEZ8N,2.65
KQ3DSMDA,2.66
U1V4Y9TL,3.05
G8LUICJE,3.13
N3TCZ8CC,3.8
9PFVMD6O,2.57
CLNZWE2X,3.15
SJCWUCN6,2.79
RF5UVPWB,2.96
OVOCTLKH,2.31
PKW3FKHU,2.92
OORXRLEV,3.03
WO8R2BAI,2.62
KF3CYAV8,2.22
GZ5YSMU4,2.24
7LEQWIMJ,2.81
IHVODULS,2.85
UAEUNDPA,3.82
OPORGB3Z,2.28
HNVZP4RK,3.55
R5XCZVBV,4.0
XUUNK28H,4.0
TZDJE2EY,3.18
YD2YWEFJ,3.84
9GCCRPKJ,3.29
GQMST1YC,3.19
JGC62TCV,2.06
NCJIRCCV,3.35
5GQJOGGV,3.52
Y1DLQIHH,2.94
AX9XSBRS,2.43
OMJ8YCTF,3.61
AA6TZNWJ,2.81
UU1VZXRX,2.83
RQEXGIXE,3.11
MJHUXNOJ,3.5
QIPE19CB,2.77
XN3YD6GY,3.31
V1JSI8BN,2.5
GQJMQVS6,3.12
E2AFBIBR,3.14
AOHMUYFG,3.42
JBHK3FBB,2.71
KXR6DDPI,2.62
VJQOD5AY,3.08
JEO5FART,2.82
2L1QUEIQ,3.01
CPS4Z9IN,3.36
PKDGUX5A,2.82
PJOGVSLC,3.18
82T2CDK2,2.63
HD1SLPKK,3.26
NZPFGSOI,3.21
XJF15DHS,3.23
BZ3SZO1E,2.48
BHULVBKD,3.25
C6KHLEY9,2.91
FSELYARX,2.66
46KV6QEB,2.64
LK5SMBNK,2.81
ZKU3NZMF,2.97
QASW95VN,2.3
HYSEZ3MW,3.16
MT8WNUAJ,2.95
YI8MKPNF,2.73
RWRVJEBD,3.07
WZQLNTIM,2.86
KA5IYFMS,3.27
PXRWRLQ7,3.05
KKHLRRXE,3.56
66BF4TKJ,3.19
4L618DVU,3.21
